t,elapsed,x,y,dx,dy,dz,xy,xyz,yaw_deg
1781078532.5989854,0.0,228.17369565269576,-48.089092750663504,-0.42604583235143423,-0.331580413635308,1.3604176778076404,0.5398709308442049,1.463624569369523,-0.03132080104567416
1781078533.5685954,0.9696099758148193,228.17159798002103,-48.087986377633634,-0.422715633586904,-0.33028964301878005,1.3707683904456858,0.5364510743434585,1.4720005894731518,-0.020197443145044243
1781078533.6668253,1.0678398609161377,228.17159798002103,-48.087986377633634,-0.42331473871033154,-0.3290950214468822,1.3696531591258665,0.5361892400547777,1.4708666416279847,-0.02295372395787797
1781078533.7672465,1.1682610511779785,228.17159863827968,-48.0879856962249,-0.4252352674411952,-0.33509394530417325,1.3706119341182508,0.5413990994223218,1.4736655179526572,-0.02560869494947838
1781078533.8981884,1.2992029190063477,228.17159862423685,-48.08687868938055,-0.42425589085439697,-0.3332069729008609,1.3707552657421265,0.5394626471910849,1.4730885738047732,-0.02630867578988767
1781078533.9493935,1.3504080772399902,228.17055033728695,-48.08687871054653,-0.42288745939819705,-0.33320059092863374,1.3695257721242606,0.5383831694169613,1.471549278014163,-0.02656262266247403
1781078534.0664198,1.4674344062805176,228.17055037294583,-48.086878717841415,-0.42066582677142605,-0.3307262473671173,1.3694614938663805,0.5351070813499136,1.4702939745824852,-0.023782954067569712
1781078534.1662965,1.5673110485076904,228.17055048032447,-48.08687874120959,-0.42019084990013766,-0.33036509376068324,1.3650446071542184,0.5345104727835602,1.4659632413659351,-0.0249917486168889
1781078534.2679522,1.6689667701721191,228.17159891031187,-48.08687875026832,-0.4234947052636926,-0.331359410666785,1.3626249337037968,0.5377237435931399,1.4648868674321227,-0.02698440265161342
1781078534.3693008,1.770315408706665,228.17159891031187,-48.08687875026832,-0.42157353696757127,-0.33130121121674705,1.3626109571121625,0.5361760341763065,1.4643064433605266,-0.020788475741450988
1781078534.465763,1.8667776584625244,228.17159894610475,-48.08687875791159,-0.42243804818266995,-0.3299998310809471,1.3616661473088003,0.5360539087310505,1.4633825507339593,-0.026060871960507277
1781078534.5653768,1.9663913249969482,228.17055062366785,-48.08687877113749,-0.42250892446492117,-0.3305483835858709,1.3607041046014419,0.536447597761176,1.4626317668582711,-0.025166662813212764
1781078534.674247,2.0752615928649902,228.1695023596535,-48.08577179334714,-0.4180855506491241,-0.3318343848229688,1.3603938536552944,0.5337692259885535,1.4613627283037987,-0.022484451907227976
1781078534.7773092,2.178323745727539,228.16740571609913,-48.08577181995372,-0.4208235998769396,-0.3340901076971292,1.3594049861766835,0.5373162032495075,1.4617423229545266,-0.01842003544983713
1781078534.8722255,2.273240089416504,228.16740575167208,-48.08577182757121,-0.4196838363235429,-0.33413012289832267,1.358445605762519,0.5364489365254577,1.4605313845702843,-0.026590451717846613
1781078534.9758306,2.376845121383667,228.16740573745747,-48.084664821372044,-0.41778280907510634,-0.3331310427872509,1.3591358158846243,0.5343395617275666,1.460400264738257,-0.026257283405876297
1781078535.0822654,2.4832799434661865,228.16845407278953,-48.08577181419052,-0.4161946924675135,-0.332081694614196,1.359379365830037,0.5324436814687205,1.4599344280413549,-0.024258640492509996
1781078535.1731753,2.5741899013519287,228.16952092589094,-48.08686035210315,-0.4247575671421657,-0.3362356166878584,1.3591094401898445,0.5417318347429805,1.4630966650181212,-0.009138538779729734
1781078535.2736433,2.6746578216552734,228.17159897466803,-48.089092769781594,-0.4244653719436542,-0.32930787133051354,1.3604862939732765,0.5372285603907324,1.4627157899566952,-0.03267952928173379
1781078535.3782578,2.7792723178863525,228.171599010241,-48.089092777399074,-0.42282130926463424,-0.32937556380318256,1.3608004339534605,0.535972127632514,1.462547073651597,-0.02345352526302158
1781078535.480521,2.881535530090332,228.171599010241,-48.089092777399074,-0.42342817076072947,-0.3292930020548894,1.3605256716094547,0.536400314127517,1.462448426476796,-0.02409875184808386
1781078535.606822,3.0078365802764893,228.16950238795906,-48.08798580662328,-0.4212843966733715,-0.33023581374865785,1.3590478901915033,0.5352907953278151,1.4606667667187685,-0.026390880194614278
1781078535.6642623,3.065276861190796,228.16845410109508,-48.08798582746666,-0.4210128374725173,-0.33152386416299606,1.358326869169343,0.5358730090480625,1.4602094936458996,-0.02502168718782529
1781078535.770015,3.171029567718506,228.1674058017277,-48.08687884164627,-0.41860821343672683,-0.3303551087133272,1.3576356590942167,0.5332610375882364,1.4586095834917137,-0.024737778467324046
1781078535.8710012,3.2720158100128174,228.1674058017277,-48.08687884164627,-0.4232305136391119,-0.3369056378698758,1.3576912942975436,0.5409523791460153,1.4614907208446701,-0.02517136239213354
1781078535.9712782,3.3722927570343018,228.1674058375206,-48.08687884928954,-0.41999894828791184,-0.3311534785694761,1.355200825770011,0.5348474015376877,1.456925194064313,-0.02506200522065338
1781078536.0674775,3.468492031097412,228.1674058375206,-48.08687884928954,-0.4182057853325034,-0.3312424508202554,1.3570919767821585,0.5334956795616861,1.4581893819245468,-0.023946649449601218
1781078536.1686552,3.569669723510742,228.17159906024852,-48.090199791679865,-0.4229988519548158,-0.3275029673594787,1.3593415746795523,0.5349637580101627,1.4608202281720502,-0.025235338516293383
1781078536.269366,3.6703805923461914,228.17474399616054,-48.093520754707846,-0.4257937750940073,-0.3230649384507913,1.361210569434336,0.5344822666515884,1.4623835022677083,-0.027230302765765112
1781078536.3692417,3.770256280899048,228.17474399616054,-48.093520754707846,-0.4244529826943051,-0.32484786902947604,1.3625958200029116,0.5344964663410636,1.4636781890909254,-0.02317339509295601
1781078536.473758,3.874772548675537,228.17474403195342,-48.09352076235112,-0.4267372982741904,-0.324953062059258,1.360324315494284,0.5363760008427328,1.4622521867328615,-0.02591000953548997
1781078536.570168,3.9711825847625732,228.17474403195342,-48.09352076235112,-0.4263378904475985,-0.3257521832098291,1.3609167384089453,0.5365430846607554,1.4628646043222593,-0.02430724785796098
1781078536.6700408,4.0710554122924805,228.17474403195342,-48.09352076235112,-0.426369177197671,-0.3252019575444791,1.3606298509289128,0.5362340799081873,1.46248438613676,-0.026279969255100687
1781078536.7734554,4.174469947814941,228.1747440677463,-48.09352076999439,-0.426350406054155,-0.32539085636846465,1.3598657136335996,0.5363337376585083,1.4618100551258242,-0.029336022899147492
1781078536.8687167,4.269731283187866,228.1747440677463,-48.09352076999439,-0.4245603249731289,-0.3247405911589851,1.3596945190720697,0.534516530228557,1.4609849781165456,-0.022501000977463343
1781078536.9682198,4.369234323501587,228.1747440677463,-48.09352076999439,-0.4273948229782718,-0.32495540991869376,1.359124935035791,0.5369006920688915,1.4613291696876847,-0.023167347589770564
1781078537.069274,4.470288515090942,228.1747440677463,-48.09352076999439,-0.42584714422861225,-0.3235412159731439,1.358572904550832,0.5348127790928756,1.460049672326503,-0.025310229044823905
1781078537.16914,4.570154666900635,228.17474410331926,-48.093520777611865,-0.42532947826663303,-0.3245692213142277,1.3587314194632893,0.5350236859309038,1.460274431312079,-0.02823007624023337
1781078537.2689803,4.669994831085205,228.17474410331926,-48.093520777611865,-0.4236549484658383,-0.3233710158017189,1.3594259733226493,0.5329655985335523,1.4601682458417111,-0.023256737211963946
1781078537.3681097,4.769124269485474,228.17474411771602,-48.09462778439205,-0.42540875693083535,-0.3234702195878185,1.3585745809783487,0.5344208018346872,1.4599076976008196,-0.026459623984515963
1781078537.4720104,4.873024940490723,228.1747441533749,-48.09462779168693,-0.4265730017436056,-0.32338104838275683,1.3561311704538788,0.5352941511633403,1.4579545876831308,-0.02625842996049664
1781078537.5703506,4.971365213394165,228.17369578101633,-48.093520791186165,-0.4231329691132828,-0.3237738009322655,1.3592252746265192,0.5327954426613919,1.459919289174674,-0.024498911159476573
1781078537.6676538,5.068668365478516,228.17264741011132,-48.09241379118856,-0.42324857643970404,-0.3247151687427632,1.359490475527613,0.5334597438137926,1.460408727486991,-0.023952257023526567
1781078537.7687674,5.169781923294067,228.17159902436973,-48.09019978392083,-0.4232498295874052,-0.3273314643609737,1.3600283540280595,0.5350572920785839,1.4614935612471032,-0.025703322312428976
1781078537.867724,5.268738508224487,228.17055068749823,-48.089092790921775,-0.4217637242852561,-0.3291877642972736,1.3611003021491883,0.5350226381060963,1.4624784633616383,-0.028202877115495892
